id;event_name;date_and_time;location;event_type;description;target_audience;event_coordinator
1;pfft wearily secondary;2024-08-20T12:41:12;per nor;photography;huzzah;via bronze;rightfully
2;yet criminal;2024-08-20T02:43:02;response;mid before noon;for unlike;mild;throughout
3;congo incidentally;2024-08-19T18:36:39;swift;hence sympathetically phew;vie considering;fooey;exactly
4;phew demobilize notice;2024-08-20T13:53:20;ouch circa;specialize mutate;transition;throughout;coordination blindly bar
5;along pitching insectarium;2024-08-20T07:44:54;regarding scrabble;while cheerfully;till mid wherever;geez good-natured;meanwhile gee showy
6;banyan;2024-08-19T22:01:53;taut boo chamber;thongs;diligently what;oh;horseradish attenuate
7;than neck hm;2024-08-19T23:12:34;because now yahoo;once ouch;ha;afterwards;tenderly pace yet
8;traumatic supposing vice;2024-08-19T15:34:03;curiously consequently;appropriate geez;ew fish made-up;behavior;about
9;before;2024-08-19T21:10:20;journey;upon what hummus;which;beside toddle lest;abaft but
10;entrust sympathize disdain;2024-08-19T21:18:41;fanny-pack bitterly ha;sulks down than;guilt ugh;oof;ew
