id;author_name;title;publish_date;cover_area;jhi_group;expire_date
1;wedding;hence meanwhile by;2024-08-26T21:28:12;2024-08-26T11:03:02;trellis so;2024-08-26T18:03:51
2;er next who;beside;2024-08-26T23:16:30;2024-08-27T00:07:58;gadzooks;2024-08-26T12:38:22
3;invoice;gladly sunny;2024-08-27T04:48:26;2024-08-27T02:49:33;onto unnecessarily;2024-08-26T22:14:34
4;reborn with separate;whose uselessly;2024-08-26T12:38:09;2024-08-26T12:45:35;great remount;2024-08-27T05:17:31
5;quaintly;finally;2024-08-27T05:43:00;2024-08-27T05:14:05;partridge tomorrow;2024-08-27T05:09:02
6;inquisitively versus usefully;ack separate rude;2024-08-27T09:39:56;2024-08-26T10:30:58;drat zowie bad;2024-08-26T14:07:31
7;notwithstanding knowledgeably;apropos yahoo;2024-08-26T15:58:32;2024-08-27T00:35:18;supposing;2024-08-27T01:28:40
8;since;marimba evenly;2024-08-26T18:30:48;2024-08-26T22:01:33;moist at greedily;2024-08-26T09:59:15
9;whether rabbi synod;anguished beetle;2024-08-26T19:52:08;2024-08-26T10:59:42;precede;2024-08-26T17:38:41
10;save ew;but;2024-08-26T20:55:41;2024-08-27T07:47:03;hmph intrigue;2024-08-26T14:30:44
